,Unnamed: 0,isim,Aciklama,Dil,Star,Fork,Lisans
292,292,GTXiLib,Google Toolbox for Accessibility for iOS,Objective-C,158,19,Apache-2.0
293,293,protobuf-gradle-plugin,Protobuf Plugin for Gradle,Groovy,922,161,Lisans yok
294,294,alligator2,A sample integration between the Google My Business API and the Cloud Natural Language API,Python,0,1,Apache-2.0
295,295,swift,The Swift Programming Language,Dil yok,825,"8,165",Lisans yok
296,296,ci_edit,A terminal text editor with mouse support and ctrl+Q to quit.,Python,155,49,Apache-2.0
297,297,chicago-brick,Software that displays content on a multi-node video wall.,JavaScript,121,28,Apache-2.0
298,298,pcbdl,PCB Design Language: A programming way to design schematics.,Python,40,2,Lisans yok
299,299,gfbuild-llpc,A set of scripts for building LLPC for the GraphicsFuzz project,Shell,1,1,Apache-2.0
300,300,cctz,CCTZ is a C++ library for translating between absolute and civil times using the rules of a time zone.,C++,392,110,Apache-2.0
301,301,omaha,Google Update for Windows,C++,"1,022",403,Apache-2.0
302,302,mawfs,Açıklama yok,Go,51,15,Apache-2.0
303,303,google-authenticator-libpam,Açıklama yok,C,900,177,Apache-2.0
304,304,angle,"Mirrored from
            
              https://chromium.googlesource.com/angle/angle",C++,"1,548",325,Lisans yok
305,305,ngx_brotli,NGINX module for Brotli compression,C,"1,185",113,BSD-2-Clause
306,306,tcli,Açıklama yok,Python,4,1,Apache-2.0
307,307,segment,Açıklama yok,Go,4,1,Apache-2.0
308,308,tock-on-titan,Ports of Tock OS to Titan chips.,Rust,26,8,Apache-2.0
309,309,closure-stylesheets,"A CSS+ transpiler that lints, optimizes, and I18n-izes",Java,285,62,Apache-2.0
310,310,GTMAppAuth,"OAuth and OpenID Connect client for iOS, macOS, and tvOS, for use with Google libraries.",Objective-C,182,139,Apache-2.0
311,311,python-fanotify,Python bindings for Linux's fanotify API,C,40,15,Apache-2.0
312,312,schema-dts,JSON-LD TypeScript types for Schema.org vocabulary,TypeScript,201,11,Apache-2.0
313,313,subcommands,Go subcommand library.,Go,473,40,Apache-2.0
314,314,flexbox-layout,Flexbox for Android,Kotlin,"15,144","1,594",Apache-2.0
315,315,tflow2,This software is currently maintained at https://github.com/taktv6/tflow2,Go,35,17,Apache-2.0
316,316,grafika,Grafika test app,Java,"4,262","1,065",Apache-2.0
317,317,asylo-examples,Açıklama yok,C++,9,5,Apache-2.0
318,318,palette.js,"Script for generating colour palettes for use with graphs, charts and cartography.",JavaScript,503,86,Lisans yok
319,319,gops,A tool to list and diagnose Go processes currently running on your system,Go,"3,622",215,BSD-3-Clause
320,320,mako,Mako - A performance testing library and service,C++,25,5,Apache-2.0
321,321,vroom,Launch vim tests,Python,243,25,Apache-2.0
322,322,haskell-indexer,Emits code crossreference data for Haskell sources.,Haskell,89,25,Apache-2.0
323,323,trillian-examples,A place to store some examples which use Trillian APIs to build things.,Go,42,27,Apache-2.0
324,324,budou,"Budou is an automatic organizer tool for beautiful line breaking in CJK (Chinese, Japanese, and Korean).",Python,901,55,Apache-2.0
325,325,clasp,🔗 Command Line Apps Script Projects,TypeScript,"2,059",200,Apache-2.0
326,326,codeworld,Educational computer programming environment using Haskell,Haskell,"1,037",175,Apache-2.0
327,327,certificate-transparency-java,"Auditing for TLS certificates, Java code.",Java,28,30,Apache-2.0
328,328,badwolf,Temporal graph store abstraction layer.,Go,881,64,Apache-2.0
329,329,mundane,"Mundane is a Rust cryptography library backed by BoringSSL that is difficult to misuse, ergonomic, and performant (in that order).",Rust,385,18,MIT
330,330,nixery,Container registry which transparently builds images using the Nix package manager,Go,687,23,Apache-2.0
331,331,vulncode-db,Vulncode-DB project,Python,451,49,Apache-2.0
332,332,vxsig,Automatically generate AV byte signatures from sets of similar binaries.,C++,105,15,Apache-2.0
333,333,eidos-audition,Collection of auditory models.,C++,4,1,GPL-3.0
334,334,safeside,Understand and mitigate software-observable side-channels,C,350,26,Apache-2.0
335,335,zetasketch,"A collection of libraries for single-pass, distributed, sublinear-space approximate aggregation and sketching algorithms. Currently: HyperLogLog++; more to come.",Java,63,9,Apache-2.0
336,336,built_collection.dart,Immutable Dart collections via the builder pattern.,Dart,169,37,BSD-3-Clause
337,337,glog,C++ implementation of the Google logging module,C++,"3,570","1,389","1,389"
338,338,textfsm,Python module for parsing semi-structured text into python tables.,Python,666,108,Apache-2.0
339,339,sa360-webquery-bigquery,Açıklama yok,Java,0,0,Apache-2.0
340,340,sanitizers,"AddressSanitizer, ThreadSanitizer, MemorySanitizer",Python,"4,787",524,Apache-2.0
341,341,libnss-cache,"a NSS module for reading directory service information for Linux hosts from an indexed, local disk cache",C,34,20,LGPL-3.0
342,342,auto,A collection of source code generators for Java.,Java,"8,418",975,Apache-2.0
343,343,cloud-print-connector,Google Cloud Print Connector,Go,702,175,BSD-3-Clause
344,344,nogotofail,An on-path blackbox network traffic security testing tool,Python,"2,543",359,Apache-2.0
345,345,gumbo-parser,An HTML5 parsing library in pure C99,HTML,"4,644",631,Apache-2.0
346,346,sentencepiece,Unsupervised text tokenizer for Neural Network-based text generation.,C++,"3,610",445,Apache-2.0
347,347,xsecurelock,X11 screen lock utility with security in mind,C,437,44,Apache-2.0
348,348,spatial-media,Specifications and tools for 360º video and spatial audio.,Python,"1,029",286,Lisans yok
349,349,automl-video-ondevice,Açıklama yok,Python,9,5,Apache-2.0
350,350,certificate-maker,An experimental tool for turning HTML templates into PDF files.,JavaScript,76,16,Apache-2.0
351,351,cyanobyte,Machine-readable datasheets,C++,16,18,Apache-2.0
352,352,zopfli,"Zopfli Compression Algorithm is a compression library programmed in C to perform very good, but slow, deflate or zlib compression.",C++,"2,695",262,Apache-2.0
353,353,google-api-javascript-client,"Google APIs Client Library for browser JavaScript, aka gapi.",CSS,"1,122",577,Apache-2.0
354,354,creative-screenshots,Açıklama yok,TypeScript,4,2,Apache-2.0
355,355,box2d.dart,A Dart port of Java's Box2D libraries.,Dart,85,32,BSD-3-Clause
356,356,der-ascii,A reversible DER and BER pretty-printer.,Go,158,23,Apache-2.0
357,357,mobly-bundled-snippets,Snippets to allow Mobly tests to control Android devices by exposing a simplified Android API.,Java,21,25,Apache-2.0
358,358,diff-match-patch,Diff Match Patch is a high-performance library in multiple languages that manipulates plain text.,Python,"2,764",486,Apache-2.0
359,359,leveldb,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,C++,"19,851","4,665",BSD-3-Clause
360,360,mobly,E2E test framework for tests with complex environment requirements.,Python,348,88,Apache-2.0
361,361,java-monitoring-client-library,A java idiomatic monitoring client for collecting metrics,Java,40,23,Apache-2.0
362,362,dart-neats,neat dart packages.,Dart,56,9,Apache-2.0
363,363,libsxg,Signed HTTP Exchange library,C,34,8,Apache-2.0
364,364,cortex-demos,Cortex-M Operating System that focuses heavily on testability,C++,3,5,Apache-2.0
365,365,note-maps,A personal knowledge base designed for use on mobile devices.,Go,24,4,Apache-2.0
366,366,peoplemath,Web application for team planning,TypeScript,28,6,Apache-2.0
367,367,eslint-config-google,ESLint shareable config for the Google JavaScript style guide,JavaScript,"1,230",123,Apache-2.0
368,368,santa,A binary whitelisting/blacklisting system for macOS,Objective-C,"3,016",206,Apache-2.0
369,369,libaddressinput,"Google’s postal address library, powering Android and Chromium",C++,430,82,Apache-2.0
370,370,AppSpeedIndex,Açıklama yok,Python,9,7,Lisans yok
371,371,ijaas,Make IntelliJ as a Java server that does autocompletion for Vim.,Java,420,20,Apache-2.0
372,372,copr-sundry,Collection of rpm spec files for various packages.,Python,10,13,Apache-2.0
373,373,unsmear,Converts to and from timescales with smeared leap seconds,C++,33,4,Apache-2.0
374,374,go-pbmoney,Go utilities for google/type/money.proto,Go,18,2,Apache-2.0
375,375,sling,SLING - A natural language frame semantics parser,C++,"1,810",276,Apache-2.0
376,376,prefab,Prefab is a tool for generating build system integrations for prebuilt C/C++ libraries.,Kotlin,20,1,Apache-2.0
377,377,shaderc-rs,Rust bindings for the shaderc library.,Rust,89,28,Apache-2.0
378,378,usd_from_gltf,Açıklama yok,C++,88,13,Apache-2.0
379,379,vogon,Scalable customization of video campaigns,JavaScript,90,37,Apache-2.0
380,380,containerregistry,A set of Python libraries and tools for interacting with a Docker Registry.,Python,142,106,Apache-2.0
381,381,coursebuilder-core,Açıklama yok,Python,117,104,Lisans yok
382,382,openrtb-doubleclick,"Utilities for DoubleClick Ad Exchange, including OpenRTB mapping, DoubleClick cryptography, metadata and validation",Java,181,77,Apache-2.0
383,383,openrtb,OpenRTB model for Java and other languages via protobuf; Helper OpenRTB libraries for Java including JSON serialization,Java,344,155,Apache-2.0
384,384,kmsan,"KernelMemorySanitizer, a detector of uses of uninitialized memory in the Linux kernel",C,220,45,Lisans yok
385,385,kati,An experimental GNU make clone,C++,557,70,Apache-2.0
386,386,vim-jsonnet,Jsonnet filetype plugin for Vim.,Vim script,83,19,Apache-2.0
387,387,seesaw,Seesaw v2 is a Linux Virtual Server (LVS) based load balancing platform.,Go,"4,945",469,Apache-2.0
388,388,martian,Martian is a library for building custom HTTP/S proxies,Go,"1,266",151,Apache-2.0
389,389,path-auditor,Açıklama yok,C++,235,34,Apache-2.0
390,390,licenseclassifier,A License Classifier,Go,136,29,Lisans yok
391,391,git-rebaser,Açıklama yok,Python,0,4,Apache-2.0
392,392,kf,Feels like Cloud Foundry. Runs on Kubernetes.,Go,311,38,Apache-2.0
393,393,election_results_xml_validator,Açıklama yok,Python,17,22,Apache-2.0
394,394,highway,Performance-portable SIMD with runtime dispatch,C++,157,7,Apache-2.0
395,395,open-location-code,"Open Location Code is a library to generate short codes, called ""plus codes"", that can be used as digital addresses where street addresses don't exist.",Java,"2,996",351,Apache-2.0
396,396,hover,A floating menu library for Android.,Java,"2,554",280,Apache-2.0
397,397,go-cmp,Package for comparing Go values in tests,Go,"1,500",87,BSD-3-Clause
398,398,google-java-format,Reformats Java source code to comply with Google Java Style.,Java,"3,089",532,Apache-2.0
399,399,vector_math.dart,A vector math package for 2D and 3D applications,Dart,140,58,BSD-3-Clause
400,400,codemirror.dart,A Dart wrapper around the CodeMirror text editor.,Dart,43,28,BSD-3-Clause
401,401,eme-encryption-scheme-polyfill,A polyfill to add support for EncryptionScheme queries in EME and MediaCapabilities.,JavaScript,1,2,Apache-2.0
402,402,allocation-instrumenter,A Java agent that rewrites bytecode to instrument allocation sites,Java,369,71,Apache-2.0
403,403,caliper,Micro-benchmarking library for Java,Java,636,99,Apache-2.0
404,404,EXEgesis,Açıklama yok,C++,221,27,Apache-2.0
405,405,network-mapper,Açıklama yok,Python,46,24,Apache-2.0
406,406,recaptcha,"PHP client library for reCAPTCHA, a free service to protect your website from spam and abuse.",PHP,"2,693",698,BSD-3-Clause
407,407,periph,Go·Hardware·Lean,Go,"1,409",143,Apache-2.0
408,408,perf_data_converter,Tool to convert Linux perf files to the profile.proto format used by pprof,C++,132,31,BSD-3-Clause
409,409,vulkan-pre-rotation-demo,Handle Vulkan pre-rotation properly on Android,C++,0,0,Apache-2.0
410,410,basis_universal,Basis Universal GPU Texture Codec - please make contributions upstream at BinomialLLC,C++,0,77,Apache-2.0
411,411,smbios-validation-tool,Açıklama yok,Dil yok,0,0,Lisans yok
412,412,xctestrunner,A executable binary to run prebuilt iOS tests on iOS simulator/real device.,Python,50,27,Apache-2.0
413,413,rpmpack,rpmpack (tar2rpm) - package rpms in pure golang or cli,Go,37,12,Apache-2.0
414,414,quiver-dart,A set of utility libraries for Dart,Dart,500,116,Lisans yok
415,415,bulkan,Açıklama yok,TypeScript,1,1,Lisans yok
416,416,fuzzer-test-suite,Set of tests for fuzzing engines,C,"1,031",239,Apache-2.0
417,417,lintush,Interactive CLI for conventional commit messages 🦄,JavaScript,19,2,Apache-2.0
418,418,file.dart,A generic file system abstraction for Dart.,Dart,51,28,BSD-3-Clause
419,419,web-starter-kit,Web Starter Kit - a workflow for multi-device websites,HTML,"18,589","3,224",Apache-2.0
420,420,zazu,Açıklama yok,TypeScript,13,11,Apache-2.0
421,421,node-fastify-auto-push,Fastify plugin for HTTP/2 automatic server push,TypeScript,85,10,Lisans yok
422,422,node-h2-auto-push,HTTP/2 automatic server push,TypeScript,301,16,Apache-2.0
423,423,nodejs-container-image-builder,a container registry client and image builder with support for protocol version 2 and no docker dependency,TypeScript,25,7,Apache-2.0
424,424,python-lakeside,Açıklama yok,Python,30,16,Apache-2.0
425,425,personfinder,Person Finder is a searchable missing person database written in Python and hosted on App Engine.,Python,431,199,Apache-2.0
426,426,coding-with-chrome-libraries,General-purpose library and robotics framwork used by Coding with Chrome.,JavaScript,11,8,Apache-2.0
427,427,closure-builder,NPM based Closure build system to easily compile Soy template files together with Closure JavaScript files without the need to configure anything.,JavaScript,61,24,Apache-2.0
428,428,lisp-koans,"Common Lisp Koans is a language learning exercise in the same vein as the ruby koans, python koans and others. It is a port of the prior koans with some modifications to highlight lisp-specific features. Structured as ordered groups of broken unit tests, the project guides the learner progressively through many Common Lisp language features.",Common Lisp,"2,378",484,Apache-2.0
429,429,CausalImpact,An R package for causal inference in time series,R,"1,057",179,Apache-2.0
430,430,jsinterop-generator,Generates Java annotated with JsInterop from JavaScript extern sources,Java,56,24,Apache-2.0
431,431,jsinterop-base,Utilities for GWT and J2CL to interact with JavaScript beyond JsInterop,Java,52,11,Apache-2.0
432,432,grumpy,Grumpy is a Python to Go source code transcompiler and runtime.,Go,"9,948",632,Apache-2.0
433,433,x509test,X.509 certificate test suite,Python,28,13,Apache-2.0
434,434,re2j,linear time regular expression matching in Java,Java,840,124,Lisans yok
435,435,dspl,Schema and utilities for Google Dataset Publishing Language,Python,17,28,BSD-3-Clause
436,436,go-metrics-stackdriver,This library provides a stackdriver sink for applications instrumented with the go-metrics library,Go,9,1,Apache-2.0
437,437,fhir-examples,Usage Examples for github.com/google/fhir,C++,10,2,Apache-2.0
438,438,fruit,"Fruit, a dependency injection framework for C++",Python,"1,314",166,Apache-2.0
439,439,archive-patcher,Automatically exported from code.google.com/p/archive-patcher,Java,392,50,Apache-2.0
440,440,pinject,A pythonic dependency injection library.,Python,992,77,Apache-2.0
441,441,brotli,Brotli compression format,C,"8,210",781,MIT
442,442,python-cloud-utils,Açıklama yok,Python,12,12,Apache-2.0
443,443,REAPER,Açıklama yok,C++,227,65,Apache-2.0
444,444,kir-holiday-lights,Açıklama yok,Lasso,7,6,Apache-2.0
445,445,extra-keyboards-for-chrome-os,Extra keyboard layouts and input methods for Chrome OS,JavaScript,100,68,Apache-2.0
446,446,tabletopaudio-action,Açıklama yok,TypeScript,3,1,Apache-2.0
447,447,s2geometry,Computational geometry and spatial indexing on the sphere,C++,975,135,Apache-2.0
448,448,lifetime_value,Açıklama yok,Jupyter Notebook,0,7,Apache-2.0
449,449,effcee,"Effcee is a C++ library for stateful pattern matching of strings, inspired by LLVM's FileCheck",C++,57,25,Apache-2.0
450,450,go-licenses,Reports on the licenses used by a Go package and its dependencies.,Go,36,3,Apache-2.0
451,451,android-emulator-hypervisor-driver-for-amd-processors,Açıklama yok,C,24,5,GPL-2.0
452,452,tarpc,An RPC framework for Rust with a focus on ease of use.,Rust,"1,207",85,MIT
453,453,adcase,Açıklama yok,Python,0,0,Apache-2.0
454,454,wycheproof,Project Wycheproof tests crypto libraries against known attacks.,Java,"2,165",234,Apache-2.0
455,455,opencasebook,Open Source Casebook,Ruby,26,17,Lisans yok
456,456,grr,GRR Rapid Response: remote live forensics for incident response,Python,"3,374",615,Apache-2.0
457,457,roman-word-bubbling,Açıklama yok,CSS,2,3,Apache-2.0
458,458,grr-doc,Documentation for the GRR Rapid Reponse framework,Python,266,153,Apache-2.0
459,459,gpu-runtime,Açıklama yok,C++,0,2,Apache-2.0
460,460,gcnn-survey-paper,Açıklama yok,Python,0,1,Apache-2.0
461,461,opensmartbutton,Açıklama yok,C,2,2,Apache-2.0
462,462,pprof,pprof is a tool for visualization and analysis of profiling data,Go,"3,105",277,Apache-2.0
463,463,virtual-authenticators-tab,Chrome extension that adds a virtual authenticators tab to devtools,JavaScript,27,2,Apache-2.0
464,464,makerspace-auth,Designs for our makerspace access control devices,Python,44,21,Apache-2.0
465,465,play-instant-unity-plugin,The Google Play Instant Plugin for Unity Beta : Simplifies conversion of a Unity-based Android app into an instant app that can be deployed through Google Play Instant.,C#,131,32,Lisans yok
466,466,logger,Cross platform Go logging library.,Go,755,67,Apache-2.0
467,467,eng-edu,Açıklama yok,Jupyter Notebook,472,228,Apache-2.0
468,468,.github,default configuration for @google repos,Dil yok,6,27,Lisans yok
469,469,sa360-bigquery-bootstrapper,Açıklama yok,Python,0,0,Apache-2.0
470,470,uis-rnn,"This is the library for the Unbounded Interleaved-State Recurrent Neural Network (UIS-RNN) algorithm, corresponding to the paper Fully Supervised Speaker Diarization.",Python,"1,093",231,Apache-2.0
471,471,apps_script_tools,Tools for writing Apps Scripts in the Dart programming language,Dart,17,6,Apache-2.0
472,472,mail-importer,"Mail Importer for Gmail will upload the contents of a Thunderbird mail archive to Gmail and do its best to preserve the read state, flagged state, and folders of the messages.",Java,181,72,Apache-2.0
473,473,woff2,Açıklama yok,C++,629,119,MIT
474,474,dart_google_apps,Interop libraries to write Google Apps scripts in the Dart programming language.,Dart,19,7,Apache-2.0
475,475,unrestricted-adversarial-examples,Contest Proposal and infrastructure for the Unrestricted Adversarial Examples Challenge,Python,287,61,Apache-2.0
476,476,desugar_jdk_libs,Açıklama yok,Java,57,10,GPL-2.0
477,477,macops-keychainminder,SecurityAgentPlugin for monitoring keychain password synchronization,Objective-C,85,21,Lisans yok
478,478,embedding-tests,Açıklama yok,Python,1,2,Apache-2.0
479,479,ktsan,"KernelThreadSanitizer, a fast data race detector for the Linux kernel",C,511,67,Lisans yok
480,480,bazel-to-cmake,Açıklama yok,Python,50,11,Apache-2.0
481,481,oauth2l,"oauth2l (""oauth tool"") is a simple CLI for interacting with Google oauth tokens.",Go,262,43,Apache-2.0
482,482,guetzli,Perceptual JPEG encoder,C++,"12,271",982,Apache-2.0
483,483,struct2tensor,struct2tensor is a library for parsing and manipulating structured data inside of tensorflow.,Python,4,2,Apache-2.0
484,484,data-driven-discretization-1d,"Code for ""Learning data-driven discretizations for partial differential equations""",Jupyter Notebook,65,22,Apache-2.0
485,485,tracing-framework,Web Tracing Framework libraries and extensions.,JavaScript,"2,576",220,BSD-3-Clause
486,486,netstack,IPv4 and IPv6 userland network stack,Go,"2,863",243,Apache-2.0
487,487,guice,"Guice (pronounced 'juice') is a lightweight dependency injection framework for Java 6 and above, brought to you by Google.",Java,"8,983","1,309",Apache-2.0
488,488,multi-task-architecture-search,Açıklama yok,Python,1,1,Apache-2.0
489,489,pyringe,Debugger capable of attaching to and injecting code into python processes.,Python,"1,552",70,Apache-2.0
490,490,eddystone,"Specification for Eddystone, an open beacon format from Google",C,"2,871",751,Apache-2.0
491,491,statechart,C++ StateChart Library,C++,62,13,Apache-2.0
492,492,java-photoslibrary,Java client library for the Google Photos Library API,Java,56,36,Apache-2.0
493,493,cel-cpp,"Fast, portable, non-Turing complete expression evaluation (C++)",C++,51,23,Apache-2.0
494,494,science-journal,Use the sensors in your mobile devices to perform science experiments. Science doesn’t just happen in the classroom or lab—tools like Science Journal let you see how the world works with just your phone.,Java,405,125,Apache-2.0
495,495,deputy-api-python-client,Açıklama yok,Python,4,4,Apache-2.0
496,496,synthesizer-io,Açıklama yok,Rust,28,12,Apache-2.0
497,497,aiyprojects-raspbian,"API libraries, samples, and system images for AIY Projects (Voice Kit and Vision Kit)",Python,"1,296",622,Apache-2.0
498,498,nvidia_libs_test,"Tests and benchmarks for cudnn (and in the future, other nvidia libraries)",C++,21,12,Apache-2.0
499,499,deepdream,Açıklama yok,Dil yok,"12,319","3,096",Lisans yok
500,500,checkers,Açıklama yok,Python,10,8,Apache-2.0
501,501,gvisor-containerd-shim,containerd shim for gVisor,Go,62,19,Apache-2.0
502,502,proto-lens,API for protocol buffers using modern Haskell language and library patterns.,Haskell,335,68,Lisans yok
503,503,cronutils,utilities to assist running batch processing jobs,C,93,18,Apache-2.0
504,504,schism,A self-hosting Scheme to WebAssembly compiler,Scheme,"1,047",48,Apache-2.0
505,505,iosched,The Google I/O 2019 Android App,Kotlin,"19,539","6,031","6,031"
506,506,svcca,Açıklama yok,Jupyter Notebook,401,86,Apache-2.0
507,507,science-journal-ios,Use the sensors in your mobile devices to perform science experiments. Science doesn’t just happen in the classroom or lab—tools like Science Journal let you see how the world works with just your phone.,Swift,506,53,Apache-2.0
508,508,autofdo,AutoFDO,C++,251,70,Apache-2.0
509,509,neper,neper is a Linux networking performance tool.,C,82,25,Apache-2.0
510,510,myanmar-tools,"Detect and convert the Zawgyi-One font encoding in C++, Java, JavaScript, PHP, and Ruby",Java,153,57,Lisans yok
511,511,google.github.io,Açıklama yok,HTML,42,45,Lisans yok
512,512,disable-keyboard-shortcuts,Chrome extension to disable keyboard shortcuts,Makefile,0,4,Apache-2.0
513,513,framework-for-osdu,Açıklama yok,Java,0,0,Apache-2.0
514,514,shlex,Automatically exported from code.google.com/p/go-shlex,Go,67,18,Apache-2.0
515,515,brain-tokyo-workshop,🧠🗼,Python,679,189,Apache-2.0
516,516,cassowary.dart,Cassowary constraint solving algorithm in Dart,Dart,9,4,Lisans yok
517,517,brotli-wheels,Brotli wheels,Shell,5,6,MIT
518,518,python-adb,Python ADB + Fastboot implementation,Python,"1,151",266,Apache-2.0
519,519,python_portpicker,A module to find available network ports for testing.,Python,93,46,Apache-2.0
520,520,pix-image-viewer,"Desktop image viewer. View thousands of images in a zoomable, pannable grid.",Rust,72,4,Apache-2.0
521,521,nixysa,Automatically exported from code.google.com/p/nixysa,Python,6,7,Apache-2.0
522,522,elemental2,Type checked access to browser APIs for Java code.,Python,97,31,Lisans yok
523,523,closure-templates,A client- and server-side templating system that helps you dynamically build reusable HTML and UI elements,Java,413,153,Apache-2.0
524,524,haskell-trainings,Haskell 101 and 102: slides and codelabs,Haskell,"1,108",73,Apache-2.0
525,525,jsinterop-annotations,JsInterop java annotations for J2CL and GWT,Java,6,1,Apache-2.0
526,526,szl,A compiler and runtime for the Sawzall language,C++,55,12,Lisans yok
527,527,nsync,"nsync is a C library that exports various synchronization primitives, such as mutexes",C,124,49,Apache-2.0
528,528,marzipano,A 360° media viewer for the modern web.,JavaScript,942,489,Apache-2.0
529,529,ios-webkit-debug-proxy,A DevTools proxy (Chrome Remote Debugging Protocol) for iOS devices (Safari Remote Web Inspector).,C,"4,714",403,Lisans yok
530,530,crc32c,CRC32C implementation with support for CPU-specific acceleration instructions,C++,190,56,BSD-3-Clause
531,531,bbr,Açıklama yok,Dil yok,"4,011",501,Lisans yok
532,532,loaner,Automated Chromebook loaner management,Python,143,51,Apache-2.0
533,533,abpackage,An R package for AB testing leveraging pre-period information,R,39,11,Apache-2.0
534,534,voice-builder,An opensource text-to-speech (TTS) voice building tool,JavaScript,214,51,Apache-2.0
535,535,corpuscrawler,Crawler for linguistic corpora,Python,86,33,Lisans yok
536,536,tweakr,Açıklama yok,Java,2,1,Apache-2.0
537,537,capirca,Multi-platform ACL generation system,Python,415,129,Apache-2.0
538,538,gps_data_solutions,Açıklama yok,Go,0,1,Lisans yok
539,539,docker-explorer,A tool to help forensicate offline docker acquisitions,Python,266,23,Apache-2.0
540,540,web-hv,A web based tool for inspecting UI of an in-development android app,JavaScript,15,4,Apache-2.0
541,541,emboss,Emboss is a tool for generating code that reads and writes binary data structures.,Python,14,1,Lisans yok
542,542,web-api-gateway,Açıklama yok,Go,22,8,Apache-2.0
543,543,lkml-gerrit-bridge,Açıklama yok,Python,0,0,Apache-2.0
544,544,active-learning,Açıklama yok,Python,549,132,Apache-2.0
545,545,ringdroid,Açıklama yok,Java,697,239,Lisans yok
546,546,eta-to-rsa-scripts,Açıklama yok,JavaScript,0,1,Apache-2.0
547,547,bloaty,Bloaty McBloatface: a size profiler for binaries,C++,"2,251",141,Apache-2.0
548,548,crfs,CRFS: Container Registry Filesystem,Go,940,45,BSD-3-Clause
549,549,myelin-acorn-electron-hardware,Phillip Pearson's retro hardware projects for the Acorn Electron,Python,28,14,Apache-2.0
550,550,sredocs,Açıklama yok,Go,28,4,Apache-2.0
551,551,speaker-id,This repository contains audio samples and supplementary materials accompanying publications related to the speaker-id team at Google.,HTML,57,14,Lisans yok
552,552,hotel-booking-api-validator,Utility to assist partner develop and test their Book on Google API integration.,Go,7,3,Apache-2.0
553,553,fuzzing,"Tutorials, examples, discussions, research proposals, and other resources related to fuzzing",Shell,386,45,Apache-2.0
554,554,git-presubmit-linter,Açıklama yok,Shell,16,7,Apache-2.0
555,555,jimfs,An in-memory file system for Java 7+,Java,"1,735",221,Apache-2.0
556,556,tacotron,"Audio samples accompanying publications related to Tacotron, an end-to-end speech synthesis model.",HTML,436,72,Lisans yok
557,557,berrydb,Açıklama yok,C++,65,26,BSD-3-Clause
558,558,blockly-ios,Blockly for iOS,Swift,348,98,Lisans yok
559,559,node-gles,Açıklama yok,C++,243,20,Apache-2.0
560,560,edf,Açıklama yok,Go,6,5,Apache-2.0
561,561,robotstxt,The repository contains Google's robots.txt parser and matcher as a C++ library (compliant to C++11).,C++,"3,064",179,Apache-2.0
562,562,oculi,"A Google Cloud-based pipeline for tagging image and video ads based on their content, enabling advanced creative analysis.",Python,6,4,Apache-2.0
563,563,tiff,Go package for working with the file structure of a TIFF.,Go,35,12,BSD-3-Clause
564,564,google-api-ruby-client-samples,Samples for the Google API Ruby Client,Dil yok,326,170,Lisans yok
565,565,python-spanner-orm,Spanner ORM written in Python,Python,17,6,Apache-2.0
566,566,inject-common,Utilities for implementers and consumers of the javax.inject APIs.,Java,0,2,Apache-2.0
567,567,gwtmockito,Better GWT unit testing,Java,151,54,Apache-2.0
568,568,gpu-mux,Açıklama yok,Python,40,4,Apache-2.0
569,569,pybadges,A Python library for creating Github-style badges,Python,131,32,Apache-2.0
570,570,git-appraise-web,Web UI for git-appraise,HTML,147,18,Apache-2.0
571,571,web-serial-polyfill,Açıklama yok,TypeScript,6,3,Apache-2.0
572,572,nanopb-podspec,Podspecs of library I claimed ownership on CocoaPods,Ruby,2,13,MIT
573,573,apt-golang-s3,An s3 transport method for the apt package management system,Go,16,7,Apache-2.0
574,574,private-join-and-compute,Açıklama yok,C++,471,66,Apache-2.0
575,575,jarvan,Açıklama yok,Python,0,0,Apache-2.0
576,576,enjarify,Açıklama yok,Python,"2,467",467,Apache-2.0
577,577,orderedcode,Açıklama yok,Go,26,8,Apache-2.0
578,578,incremental-dom,An in-place DOM diffing library,TypeScript,"3,236",165,Apache-2.0
579,579,uninum,"A database of number names for 186 languages, locales, and scripts",Dil yok,42,11,Lisans yok
580,580,gae-secure-scaffold-python,Açıklama yok,Python,105,47,Apache-2.0
581,581,service-worker-detector,This extension detects if a website registers a Service Worker.,JavaScript,99,13,Apache-2.0
582,582,certificate-transparency-rfcs,Certificate Transparency RFC,Python,69,37,Lisans yok
583,583,paseos,Paseos is a web app for creating and sharing web journeys.,JavaScript,5,7,Apache-2.0
584,584,wikiloop-wikidata-game,Açıklama yok,JavaScript,0,1,Apache-2.0
585,585,common-sk,Açıklama yok,JavaScript,1,1,Apache-2.0
586,586,elements-sk,A collection of v1 custom elements.,JavaScript,14,3,Apache-2.0
587,587,automation-inspector,Açıklama yok,JavaScript,16,11,Apache-2.0
588,588,wikiloop-explorer,Açıklama yok,Vue,1,1,Apache-2.0
589,589,gfw-deployments,Scripts and tools created by the Google For Work Team. (Contributions Encouraged!),Python,58,52,Lisans yok
590,590,sketch2ae,Editable After Effects layers from Sketch artboards,JavaScript,292,29,Apache-2.0
591,591,lovefield,"Lovefield is a relational database for web apps. Written in JavaScript, works cross-browser. Provides SQL-like APIs that are fast, safe, and easy to use.",JavaScript,"6,222",389,Apache-2.0
